window,duration,r1,r2,r3,r4,r5,seed,a,b,c,rr1
0,30.000000,10,10,0,10,10,7,37400472,65928,0,0
0,30.000000,10,10,10,10,10,7,237448,37229488,60032,0
0,30.000000,10,10,10,20,30,7,37399400,37408512,37412264,0
0,30.000000,5,10,10,10,10,7,75040,215472,37257360,0
0,30.000000,5,10,20,10,10,7,31088,10470224,27050312,0
100,10.000000,0,0,10,10,10,0,0,0,4066632,8440392
10,10.000000,0,0,10,10,10,0,0,0,2562080,2562080
1,10.000000,0,0,10,10,10,0,0,0,256208,256208
11,10.000000,0,0,10,10,10,0,0,0,2818288,2818288
12,10.000000,0,0,10,10,10,0,0,0,3074496,3074496
13,10.000000,0,0,10,10,10,0,0,0,3330704,3330704
14,10.000000,0,0,10,10,10,0,0,0,3586912,3586912
15,10.000000,0,0,10,10,10,0,0,0,3843120,3843120
16,10.000000,0,0,10,10,10,0,0,0,4099328,4099328
17,10.000000,0,0,10,10,10,0,0,0,4355536,4355536
18,10.000000,0,0,10,10,10,0,0,0,4611744,4611744
19,10.000000,0,0,10,10,10,0,0,0,4867952,4867952
20,10.000000,0,0,10,10,10,0,0,0,5124160,5124160
2,10.000000,0,0,10,10,10,0,0,0,512416,512416
21,10.000000,0,0,10,10,10,0,0,0,5380368,5380368
22,10.000000,0,0,10,10,10,0,0,0,5636576,5636576
23,10.000000,0,0,10,10,10,0,0,0,5892784,5892784
24,10.000000,0,0,10,10,10,0,0,0,6148992,6148992
25,10.000000,0,0,10,10,10,0,0,0,6227248,6227248
26,10.000000,0,0,10,10,10,0,0,0,6227784,6227784
27,10.000000,0,0,10,10,10,0,0,0,6228320,6228320
28,10.000000,0,0,10,10,10,0,0,0,6228856,6228856
29,10.000000,0,0,10,10,10,0,0,0,6229392,6229392
30,10.000000,0,0,10,10,10,0,0,0,6229928,6229928
3,10.000000,0,0,10,10,10,0,0,0,768624,768624
31,10.000000,0,0,10,10,10,0,0,0,6230464,6230464
32,10.000000,0,0,10,10,10,0,0,0,6231000,6231000
33,10.000000,0,0,10,10,10,0,0,0,6231536,6231536
34,10.000000,0,0,10,10,10,0,0,0,6232072,6232072
35,10.000000,0,0,10,10,10,0,0,0,6232608,6232608
36,10.000000,0,0,10,10,10,0,0,0,6233144,6233144
37,10.000000,0,0,10,10,10,0,0,0,6233680,6233680
38,10.000000,0,0,10,10,10,0,0,0,6234216,6234216
39,10.000000,0,0,10,10,10,0,0,0,6234752,6234752
40,10.000000,0,0,10,10,10,0,0,0,6235288,6235288
4,10.000000,0,0,10,10,10,0,0,0,1024832,1024832
41,10.000000,0,0,10,10,10,0,0,0,6235824,6235824
42,10.000000,0,0,10,10,10,0,0,0,6236360,6236360
43,10.000000,0,0,10,10,10,0,0,0,6236896,6236896
44,10.000000,0,0,10,10,10,0,0,0,6237432,6237432
45,10.000000,0,0,10,10,10,0,0,0,6237968,6237968
46,10.000000,0,0,10,10,10,0,0,0,6238504,6238504
47,10.000000,0,0,10,10,10,0,0,0,6239040,6239040
48,10.000000,0,0,10,10,10,0,0,0,6239576,6239576
49,10.000000,0,0,10,10,10,0,0,0,6240112,6240112
50,10.000000,0,0,10,10,10,0,0,0,6240648,6240648
5,10.000000,0,0,10,10,10,0,0,0,1281040,1281040
51,10.000000,0,0,10,10,10,0,0,0,6241184,6241184
52,10.000000,0,0,10,10,10,0,0,0,6241720,6241720
53,10.000000,0,0,10,10,10,0,0,0,6242256,6242256
54,10.000000,0,0,10,10,10,0,0,0,6242792,6242792
55,10.000000,0,0,10,10,10,0,0,0,6243328,6243328
56,10.000000,0,0,10,10,10,0,0,0,6243864,6243864
57,10.000000,0,0,10,10,10,0,0,0,6244400,6244400
58,10.000000,0,0,10,10,10,0,0,0,6244936,6244936
59,10.000000,0,0,10,10,10,0,0,0,6245472,6245472
60,10.000000,0,0,10,10,10,0,0,0,6246008,6246008
6,10.000000,0,0,10,10,10,0,0,0,1537248,1537248
61,10.000000,0,0,10,10,10,0,0,0,6246544,6246544
62,10.000000,0,0,10,10,10,0,0,0,6247080,6247080
63,10.000000,0,0,10,10,10,0,0,0,6247616,6247616
64,10.000000,0,0,10,10,10,0,0,0,6248152,6248152
65,10.000000,0,0,10,10,10,0,0,0,6248688,6248688
66,10.000000,0,0,10,10,10,0,0,0,6249224,6249224
67,10.000000,0,0,10,10,10,0,0,0,6249760,6249760
68,10.000000,0,0,10,10,10,0,0,0,6250296,6250296
69,10.000000,0,0,10,10,10,0,0,0,6250832,6250832
70,10.000000,0,0,10,10,10,0,0,0,6251368,6251368
7,10.000000,0,0,10,10,10,0,0,0,1793456,1793456
71,10.000000,0,0,10,10,10,0,0,0,6251904,6251904
72,10.000000,0,0,10,10,10,0,0,0,6252440,6252440
73,10.000000,0,0,10,10,10,0,0,0,6252976,6252976
74,10.000000,0,0,10,10,10,0,0,0,6253512,6253512
75,10.000000,0,0,10,10,10,0,0,0,6169360,6337664
76,10.000000,0,0,10,10,10,0,0,0,6085208,6421816
77,10.000000,0,0,10,10,10,0,0,0,6001056,6505968
